character,in_degree,out_degree,undirected_degree,total_directed_degree,link_balance,incoming_share
Blackthorn_(character),2,1,2,3,1,0.6666666666666666
Backhand_(character),2,1,2,3,1,0.6666666666666666
Alex_Wilder,1,1,2,2,0,0.5
Straw_Man_(comics),0,2,2,2,-2,0.0
Emrys_Killebrew,0,2,2,2,-2,0.0
Firelord_(character),2,1,2,3,1,0.6666666666666666
Shear_(character),1,2,2,3,-1,0.3333333333333333
Scatterbrain_(Morituri),2,2,2,4,0,0.5
Dragon_Lord_(character),1,1,2,2,0,0.5
Fandral,1,2,2,3,-1,0.3333333333333333
Devil_Hulk,1,2,2,3,-1,0.3333333333333333
Silhouette_(comics),0,2,2,2,-2,0.0
Dargo_Ktor,0,2,2,2,-2,0.0
Scorpio_(Marvel_Comics),0,2,2,2,-2,0.0
Mark_Hazzard:_Merc,0,1,1,1,-1,0.0
Mahr_Vehl,0,1,1,1,-1,0.0
Ethan_Edwards,0,1,1,1,-1,0.0
Solomon_Kane_(comics),0,1,1,1,-1,0.0
Redneck_(comics),0,1,1,1,-1,0.0
Blue_Eagle_(character),0,1,1,1,-1,0.0
Black_Jack_Tarr,1,1,1,2,0,0.5
Moonglow_(comics),0,1,1,1,-1,0.0
NFL_SuperPro,0,1,1,1,-1,0.0
Force_(comics),1,1,1,2,0,0.5
Enigma_(Marvel_Comics),0,1,1,1,-1,0.0
Helix_(Marvel_Comics),0,1,1,1,-1,0.0
Thunderclap_(comics),0,1,1,1,-1,0.0
Dogpool,0,1,1,1,-1,0.0
Captain_Ultra,0,1,1,1,-1,0.0
Digitek_(character),0,1,1,1,-1,0.0
The_Witness_(character),1,0,1,1,1,1.0
Detroit_Steel,0,1,1,1,-1,0.0
Bird-Brain_(Marvel_Comics),0,0,0,0,0,0.0
Solarman,0,0,0,0,0,0.0
Miracleman_(character),0,0,0,0,0,0.0
Yo-Yo_Rodriguez,0,0,0,0,0,0.0
Baymax,0,0,0,0,0,0.0
Ogre_(Marvel_Comics),0,0,0,0,0,0.0
Hellfire_(J._T._Slade),0,0,0,0,0,0.0
Black_Fox_(Robert_Paine),0,0,0,0,0,0.0
Father_Time_(Marvel_Comics),0,0,0,0,0,0.0
Happy_Sam_Sawyer,0,0,0,0,0,0.0
Breeze_Barton,0,0,0,0,0,0.0
Illuminator_(Marvel_Comics),0,0,0,0,0,0.0
Captain_Midlands,0,0,0,0,0,0.0
Charcoal_(comics),0,0,0,0,0,0.0
Sean_and_Chris,0,0,0,0,0,0.0
Super_Rabbit,0,0,0,0,0,0.0
Brain_Drain_(character),0,0,0,0,0,0.0
